scenario_id,vehicle_count,pedestrian_count,cyclist_count,lane_count,stop_sign_count,crosswalk_count,speed_bump_count,max_velocity_mps,max_deceleration,max_yaw_rate,is_valid_physics,risk_tier_numeric,target_risk_matrix,min_inter_agent_dist,avg_agent_velocity,velocity_std,predicted_risk_probability,predicted_critical_class
a1565e3f3d425d4c,247,118,0,65,10,2,0,21.67,15.48,9.86,True,3,Critical Complexity,0.07280109889295759,3.1378,3.4286980755577376,0.9334372,1
a2d5a79c30e38ef9,243,220,0,57,6,0,0,17.15,16.48,10.64,True,3,Critical Complexity,0.028284271247436175,3.29736,3.3987269720293805,0.93194485,1
a88340176012790e,253,121,0,376,21,4,12,22.1,18.9,7.35,True,3,Critical Complexity,0.08544003745301777,4.673488372093024,5.677161153384031,0.9286312,1
f8c4683e25a238e1,337,194,0,98,3,2,6,19.14,17.78,11.24,True,3,Critical Complexity,0.010000000000218279,3.1885169491525422,3.7071511178706587,0.9234544,1
7046efc01de68427,282,139,0,79,3,2,7,19.9,15.99,9.42,True,3,Critical Complexity,0.03162277660237405,3.0525609756097563,3.5802300345006475,0.9206262,1
21bde524de2371ca,288,115,0,92,4,7,5,17.43,13.54,11.83,True,3,Critical Complexity,0.040000000000873115,3.547007299270073,3.648612047869591,0.9173578,1
af528177b5f54711,229,135,9,175,5,18,2,20.28,14.44,7.34,True,3,Critical Complexity,0.02828427124711462,4.763655462184874,4.008567358527023,0.9173108,1
4b7000974e257328,250,29,0,104,5,13,1,18.72,16.77,6.82,True,3,Critical Complexity,0.4341658669213119,7.688714285714284,5.100800755463673,0.91523856,1
2428e19f58674761,170,186,0,111,0,20,0,32.33,14.44,9.17,True,1,Critical Complexity,0.009999999999308784,2.411948051948052,3.491490845800076,0.9034352,1
e6704226e2e1c659,505,130,0,130,5,6,10,26.47,14.51,11.61,True,3,Critical Complexity,0.04472135954995512,4.722821782178217,5.643468621083074,0.9013673,1
2e112080ff176d6f,317,166,0,280,5,5,5,26.05,19.99,11.41,True,1,Critical Complexity,0.0223606797753843,3.1783809523809525,3.459766747934516,0.89604574,1
fd4b50e57a589099,243,65,1,216,2,7,4,22.76,20.93,6.9,True,3,Critical Complexity,0.3905124837954317,5.392265625,5.047113069438148,0.8929155,1
